dispell	무효화
speak with creatures	생명체와 대화
spontaneous wizard spells	자연발생 마법사 주문
stride	활보
sunder and disjoin	찢어 분리하기
supreme initiative	최고 선제권
true knowledge	진정한 지식
true shapechange	진정한 형태변경
undead qualities	언데드의 특성
wave of chaos	혼돈의 물결
wound enemy	적 상처입히기
suggested portfolio elements	추천 포트폴리오 원소
blindsight,5-ft.radius	실명시야, 5피트 반경
disguise spell	변장 주문
divine might	신성 권능
divine vengeance	신성한 복수
energy substitution	에너지 대용
extra music	추가 음악
eyes in the back of your head	뒷통수 눈알
fleet of foot	쾌속의 발걸음
hold the line	전열 유지
jack of all trades	넓고 얕은 지식
knock-down	넘어뜨리기
persistent spell	지속성 주문
plant control	식물 조종
plant defiance	식물 거역
prerequisite	전제조건
power critical	파워 치명타
reach spell	주문 도달
repeat spell	주문 반복
sacred spell	성스러운 주문
sharp-shooting	초정밀사격
normal	보통
special	특수
subdual substitution	진압 대용
superior expertise	최고 전문가
benefit	이익
divine domains and spells	신성 계열과 주문
domains and spells	계열과 주문
artifice domain	가공 계열
charm domain	매혹 계열
community domain	공동체 계열
creation domain	제작 계열
darkness domain	암흑 계열
glory domain	영광 계열
liberation domain	해방 계열
madness domain	광기 계열
nobility domain	고결 계열
repose domain	안식 계열
rune domain	룬 계열
scalykind domain	비늘과 계열
weather domain	날씨 계열
granted power	보장된 능력
armor of darkness	암흑 갑옷
blacklight	불가시광선
bolt of glory	영광의 화살
bolts of bedevilment	광란의 화살
crown of glory	영광의 왕관
hardening	굳히기
maddening scream	미칠듯한 비명
surelife	생명보장
touch of madness	광기의 손길
target	목표물
targets	목표물
effect	효과
effects	효과
cost	비용
area	범위
material component	물질 요소
divine minions	신성 하수인
proxies	대리자
petitioners	소원자
creating a petitioner	소원자 만들기
mental immunity	정신 면역
other immunities	다른 면역들
planar commitment	현세에 헌신함
exceptional petitioners	예외적인 소원자
petitioner	소원자
additional	추가
extra	추가
exception	예외
score	점수
crusader	십자군
benefactor	은인
rebel	반란군
judge	판사
undecided	미정
free spirit	자유로운 영혼
dominator	지배자
malefactor	악인
destroyer	파괴자
adulthood	성인
middle age	중년기
old	노령
venerable	고령
maximum	최대
base height	기본 키
height modifier	키 수정치
base weight	기본 몸무게
weight modifier	몸무게 수정치
base attack bonus	기본 공격 보너스
fort save	인내 내성
ref save	저항 내성
will save	의지 내성
fast	빠른
fast movement	빠른 이동
spells per day	일일 주문 개수
spells known	알고 있는 주문
type of knowledge	지식의 유형
domains and class skills	계열과 직업 스킬
cure	치유
inflict	상처 가하기
evil	악
good	선
language	언어
~, and	,
~, or	,
nature’s ally	자연의 동료
basics	기본
alternative	대체
unarmored	비무장
small monk	작은 수도사
large monk	큰 수도사
associates	규합하기
universal	공통
ability	능력
master class level	주인 직업 레벨
increases	올리기
difficulty	난이도
example	예
skill used	스킬 사용함
task	작업
opposing skill	반대 스킬
ability checks and caster level checks	능력 판정과 시전자 레벨 판정
try again	다시 시도하기
synergy	시너지
narrow surface	좁은 지형
difficult surface	험한 지형
surface	지형
being attacked while balancing	균형을 맞추는 중 공격 당함
feinting in combat	전투 중 속임동작
creating a diversion to hide	숨기 위해 주의 돌리기
delivering a secret message	비밀 메세지 전달하기
circumstance	상황
example surface or activity	지형이나 활동 예제
the core mechanic	핵심 메카닉
~’s	의
or less	이하
or lower	이하
or higher	이상
or more	이하
str	근
dex	민
con	건
int	지
wis	혜
cha	매
roll	굴림
fort	인내
ref	저항
trait	특성
by spell level	주문레벨별
armor check penalty	갑옷 판정 페널티
1st	1
2nd	2
3rd	3
4th	4
5th	5
6th	6
7th	7
8th	8
9th	9
0th	0
1th	1
2th	2
3th	3
(heavy)	(무거움)
(light)	(가벼움)
(medium)	(적당함)
(electricity)	(전기속성)
list	목록
and	및
link	연결
making your own handholds and footholds	나만의 손잡이나 발판 만들기
catching yourself when falling	떨어질 때 무언가 잡기
catching a falling character while climbing	등반 중 떨어지는 캐릭터 잡기
progress by the day	일일 진행도
creating masterwork items	명품 아이템 만들기
influencing npc attitudes	NPC 태도에 영향 주기
other ways to beat a trap	함정을 파괴하는 다른 방법
tight space	좁은 공간
handle an animal	동물 다루기
teach an animal a trick	동물 요령 가르치기
train an animal for a purpose	목적을 가지고 동물 가르치기
rear a wild animal	야생 동물 키우기
first aid	응급 처치
long-term care	장기 치료
treat wound from caltrop, spike growth, or spike stones	마름쇠, 가시 성장, 가시 암석에 생긴 상처 치료
treat poison	독 치료
treat disease	질병 치료
sniping	저격
demoralize opponent	상대방 사기저하
long jump	먼 도약
high jump	높은 도약
hop up	깡총 뛰기
jumping down	아래로 도약
guide with knees	무릎으로 신호
stay in saddle	말 탄 채 유지
fight with warhorse	군마와 함께 전투
soft fall	부드러운 낙마
leap	도약
spur mount	탈것 질주시키기
control mount in battle	전투 중 탈것 조종
fast mount or dismount	빠른 탑승 및 하차
hunch	예감
sense enchantment	부여술 감지
discern secret message	비밀 메세지 눈치 채기
speak language (none; trained only)	언어 말하기 (없음; 훈련 필수)
read lips	입모양 읽기
activate blindly	모르는 것 작동시키기
decipher a written spell	쓰여진 주문 해독
emulate an ability score	능력 점수 모방하기
emulate an alignment	성향 모방하기
emulate a class feature	직업 특성 모방하기
emulate a race	종족모방하기
use a scroll	두루마리 사용하기
use a wand	마법막대 사용하기
secure a grappling hook	그래플링 훅 고정
bind a character	캐릭터 결속
raw materials cost	원재료 물질 비용
time	시간
effects of metamagic feats on a spell	주문에 들어가는 메타마법 특기의 효과
multiple metamagic feats on a spell	다중 메타마법 특기
cohort level	추종자 레벨
number of followers by level	레벨별 추종자 수
very soft ground	아주 부드러운 지면
soft ground	부드러운 지면
firm ground	단단한 지면
hard ground	딱딱한 지면
ammunition	탄약
light, one-handed, and two-handed melee weapons	가벼운, 한손, 양손 근접 무기
weapon size	무기 크기
inappropriately sized weapons	부적절한 크기의 무기
improvised weapons	임시변통 무기
range increment	거리 증가
weight	무게
arrows	화살
axe, orc double	도끼, 오크 쌍날
bullets, sling	탄환, 무릿매
crossbow, hand	석궁, 손
crossbow, heavy	석궁, 무거움
crossbow, light	석궁, 가벼움
crossbow, repeating	석궁, 연사
flail or heavy flail	철퇴/무거운 철퇴
longbow, composite	롱보우, 합성궁
shield, heavy or light	방패, 무거움/가벼움
shortbow, composite	숏보우, 합성궁
spiked shield, heavy or light	가시 방패, 무거움/가벼움
strike, unarmed	타격, 비무장
nonproficient with armor worn	비숙련된 갑옷 착용
sleeping in armor	갑옷 입고 잠 자기
casting an arcane spell in armor	갑옷 입고 비전 주문 시전
shield, heavy, wooden or steel	방패, 무거움, 목제/철제
wooden or steel	목제/철제
shield, light, wooden or steel	방패, 가벼움, 목제/철제
don	장착
don hastily	빠른 장착
remove	탈착
candle	양초
flint and steel	부싯돌과 부싯깃
grappling hook	그래플링 훅
ink	잉크
jug, clay	토기
lamp, common	램프, 평범함
lantern, bullseye	랜턴, 방향성
lantern, hooded	랜턴, 지붕있음
lock	자물쇠
ram, portable	램, 휴대용
rope, hempen	밧줄, 마직물
rope, silk	밧줄, 비단
spyglass	작은 망원경
torch	횃불
vial	바이알병
acid	산
alchemist’s fire	연금술사의 불
antitoxin	해독제
everburning torch	영원히 불타는 횃불
holy water	성스러운 물
smokestick	연막막대
sunrod	태양막대
tanglefoot bag	탱글풋 주머니
thunderstone	뇌석
tindertwig	부싯불쏘시개
alchemist’s lab	연금술사의 연구키트
artisan’s tools	장인의 도구
artisan’s tools, masterwork	장인의 도구, 명품
climber’s kit	등반자 키트
disguise kit	변장 키트
healer’s kit	치유사의 키트
holy symbol, silver or wooden	성스러운 상징, 은제/목제
unholy symbols	부정함의 상징
magnifying glass	돋보기
musical instrument, common or masterwork	악기, 평범함/명품
scale, merchant’s	저울, 상인의
spell component pouch	주문 요소 주머니
spellbook, wizard’s (blank)	주문책, 마법사의 (공백)
thieves’ tools	도둑질 도구
thieves’ tools, masterwork	도둑질 도구, 명품
tool, masterwork	도구, 명품
water clock	물시계
artisan’s outfit	장인 복장
cleric’s vestment	사제 제의
cold weather outfit	추운 날씨 복장
courtier’s outfit	궁인 복장
entertainer’s outfit	예술인 복장
explorer’s outfit	탐험가 복장
monk’s outfit	수도사 복장
noble’s outfit	귀족 복장
peasant’s outfit	농민 복장
royal outfit	왕족 복장
scholar’s outfit	학자 복장
traveler’s outfit	여행자 복장
inn	여관
meal	식사
barding, medium creature and large creature	마갑, 중형 생명체 및 대형 생명체
donkey or mule	당나귀/노새
feed	먹이 주기
saddle, exotic	안장, 생소한 탈것 전용
saddle, military	안장, 군용
saddle, pack	안장, 짐나르기용
saddle, riding	안장, 탑승용
carriage	마차
cart	2륜마차
galley	갤리
keelboat	킬보트
longship	롱쉽
rowboat	나룻배
sailing ship	범선
sled	썰매
wagon	포장마차
warship	워쉽
coach cab	승용마차
hireling, trained	고용인, 숙달됨
hireling, untrained	고용인, 미숙함
messenger	배달부
road or gate toll	도로나 관문 통행료
ship’s passage	뱃삯
mithral	미스랄
silver, alchemical	은, 연금술용
automatic misses and hits	자동 미스 및 히트
minimum damage	최소 피해
off-hand weapon	주로 쓰지 않는 손에 쥔 무기
wielding a weapon two-handed	양손 무기 휘두르기
automatic failures and successes	자동 실패 및 성공
inaction	아무 행동도 안함
determining awareness	인지 여부 결정하기
unaware combatants	인지 못한 전투원
threatened squares	위협 받는 칸
provoking an attack of opportunity	기회 공격 유발
moving	이동함
performing a distracting act	주의를 돌리는 행동함
making an attack of opportunity	기회 공격 만들기
free action	자유 행동
not an action	행동이 아님
restricted activity	제한된 활동
“armed” unarmed attacks	“무장” 비무장 공격
dealing lethal damage	살상 피해 입히기
multiple attacks	다중 공격
shooting or throwing into a melee	근접전 중인 곳에 쏘거나 투척하기
fighting defensively as a standard action	표준 행동으로써 방어적인 전투하기
critical hits	치명타 히트
spells and critical hits	주문 및 치명타 히트
note	비고
concentrating to maintain a spell	주문을 유지하기 위해 집중하기
casting on the defensive	방어 상태에서 주문 시전
touch spells in combat	전투 중 접촉 주문
holding the charge	시전 보류
dismiss a spell	주문 해제
spell completion items	주문 완료 아이템
spell trigger, command word, or use-activated items	주문 트리거, 명령 단어, 사용 발동 아이템
using a spell-like ability on the defensive	방어 상태에서 유사주문 능력 사용하기
crawling	포복하기
deciding between an attack or a full attack	공격과 전력 공격 중 결정하기
fighting defensively as a full-round action	전체 라운드 행동으로써 방어적인 전투하기
casting a metamagic spell	메타마법 주문 시전
restricted withdraw	제한된 퇴각
what hit points represent	히트 포인트가 의미하는 것
effects of hit point damage	히트 포인트 피해의 효과
dying (–1 to –9 hit points)	죽어가고 있음 (–1 ~ –9 히트 포인트)
recovering with help	도움을 받아 회복하기
recovering without help	도움 없이 회복하기
natural healing	자연 치료
magical healing	마법 치료
healing limits	치료 한계
increases in constitution score and current hit points	건강 점수 및 현재 히트 포인트의 증가
dealing nonlethal damage	비살상 피해 입히기
nonlethal damage with a weapon that deals lethal damage	살상 무기로 비살상 피해 주기
lethal damage with a weapon that deals nonlethal damage	비살상 무기로 살상 피해 주기
hampered movement	험난한 이동
movement in combat	전투 중 이동
bonuses to speed	속도 보너스
diagonals	대각선
closest creature	가장 가까운 생명체
friend	친구
opponent	상대방
ending your movement	이동 마치기
tumbling	재주넘기
very small creature	아주 작은 생명체
square occupied by creature three sizes larger or smaller	세 사이즈 이상 차이나는 생명체가 차지한 칸
designated exceptions	정해진 예외
difficult terrain	험한 지형
obstacle	장애물
squeezing	끼어서 이동
accidentally ending movement in an illegal space	갑자기 규칙상 잘못된 공간에서 이동이 끝난 경우
double movement cost	두배 이동 비용
minimum movement	최소 이동
low obstacles and cover	낮은 장애물 및 엄폐
soft cover	부드러운 엄폐물
big creatures and cover	큰 생명체와 엄폐
total cover	전체 엄폐
varying degrees of cover	다양한 엄폐의 정도
concealment miss chance	은폐 미스 기회
total concealment	전체 은폐
ignoring concealment	은폐 무시
varying degrees of concealment	다양한 은폐의 정도
regular attack	일반 공격
initiating a bull rush	황소 쇄도 시작
bull rush results	황소 쇄도 결과
movement during a charge	돌격 중 이동
attacking on a charge	돌격 중 공격
weapons readied against a charge	돌격을 상대할 무기 준비
step	스텝
step three	스텝 3
grabbing items	아이템 잡기
feinting as a move action	이동 행동으로써 속임동작
special size modifier	특수 크기 수정치
starting a grapple	그래플 시작하기
grappling consequences	그래플링 결과
no threatened squares	위협 받는 칸 없음
no dexterity bonus	민첩 보너스 없음
no movement	이동 없음
if you’re grappling	그래플링 중일 경우
activate a magic item	마법 아이템 발동
attack your opponent	상대방 공격
damage your opponent	상대방 피해
draw a light weapon	가벼운 무기 뽑기
escape from grapple	그래플에서 탈출
retrieve a spell component	물체 염동 주문 요소
pin your opponent	상대방 고정시키기
break another’s pin	고정당한 것 풀기
use opponent’s weapon	상대방의 무기 사용하기
if you’re pinning an opponent	상대방을 고정시키는 경우
if you’re pinned by an opponent	상대방에게 고정된 경우
joining a grapple	그래플 참가
multiple grapplers	여러 명의 그래플러
horses in combat	전투에서 말
combat while mounted	탑승한 상태에서 전투
casting spells while mounted	탑승한 상태에서 주문 시전하기
if your mount falls in battle	탈것이 전투 중 쓰러진 경우
if you are dropped	탈것에서 떨어진 경우
mounted overrun (trample)	탑승한 상태에서 쇄도 (짓밟기)
sundering a carried or worn object	들고 있거나 입고 있는 것 파괴
making a trip attack	넘어뜨리기 공격 만들어내기
avoiding attacks of opportunity	기회 공격 피해내기
being tripped (prone)	넘어짐 (엎드림 상태)
tripping a mounted opponent	탈것에 탑승한 상대방 넘어뜨리기
tripping with a weapon	무기로 넘어뜨리기
turning check	구마 판정
times per day	일일 횟수
turning damage	구마 피해
effect and duration of turning	구마의 효과와 지속시간
destroying undead	언데드 파괴하기
rebuked	호통받음
commanded	명령받음
dispelling turning	구마 무효화하기
bolstering undead	언데드 강화하기
turning other creatures	다른 생명체 구마
initiative consequences of delaying	지연으로 인한 선제권 결과
readying an action	행동 준비하기
initiative consequences of readying	준비로 인한 선제권 결과
distracting spellcasters	주문시전자 집중 방해하기
readying to counterspell	주문 차단 준비하기
readying a weapon against a charge	돌격을 상대할 무기 준비
infection	감염
incubation period	잠복기
types of diseases	질병의 유형
becoming even more fearful	더 무서워짐
contact	접촉
ingested	섭취됨
inhaled	흡입됨
injury	상처를 통함
initial damage	최초 피해
secondary damage	두번쨰 피해
price	가격
targeted spells	조준하는 주문
summon familiar	패밀리어 소환
base class	기본 직업
mastery of counterspelling	주문 차단 마스터
mastery of elements	원소 마스터
mastery of shaping	조형 마스터
poison use	독 사용
save bonus against poison	독 내성 보너스
speak with blackguard	고위급도적과 말하기
natural armor increase	고유 갑옷 강화
wings	날개
dragon apotheosis	드래곤의 이상
defensive stance	방어 자세
weapon proficiency	무기 숙련
planar	이세계
planar terrain mastery	이세계 지형 마스터
aquatic	수중
desert	사막
forest	숲
hill	언덕
marsh	늪지대
mountain	산악
plains	평지
underground	지하
fiery	불
weightless	무중력
cold	냉기
shifting	전이하기
aligned	성향
cavernous	동굴
other	기타
secret	비밀
improved ally	향상된 동료
extended summoning	소환 연장
contingent conjuration	소환술 예약
planar cohort	이세계 동료
alternate form	형태 대체
air subtype	바람 하위유형
aquatic subtype	수중 하위유형
augmented subtype	하위유형 증강
change shape	형태 바꾸기
cold subtype	냉기 하위유형
constrict	수축
construct type	구조물 유형
earth subtype	대지 하위유형
fire subtype	불 하위유형
averting eyes	회피의 눈길
wearing a blindfold	안대 쓰기
movement modes	이동 모드
burrow	굴파기
native subtype	토종 하위유형
natural weapons	고유 무기
bite	물기
claw or talon	할퀴기
gore	들이받기
slap or slam	후려치기, 뭉개기
sting	독침 공격
tentacle	촉수 공격
plant type	식물 유형
summon	소환
standard	표준
none	없음
nonstandard	비표준
goods	물품
fractional coins	소량의 동전
% goods or items	% 물품과 아이템
double goods or items	두배 물품과 아이템
parenthetical notes	괄호 친 비고
vulnerability to energy	에너지 취약성
water subtype	물 하위유형
encumbrance by armor	갑옷으로 인한 과적상태
lifting and dragging	들어올리기 및 잡아끌기
bigger and smaller creatures	더 큰 생명체, 더 작은 생명체
tremendous strength	굉장한 근력
modes of movement	이동 모드
walk	걷기
forced march	강행군
mounted movement	탈것으로 이동
waterborne movement	수상 이동
minimum forward speed	최소 전진 속도
move backward	뒤로 이동
reverse	후진 기동
turn	회전
turn in place	제자리 회전
maximum turn	최대 회전
up angle	상승 각도
up speed	상승 속도
down angle	하강 각도
down speed	하강 속도
between down and up	하강과 상승 전환
hardness	경도
energy attacks	에너지 공격
ranged weapon damage	원거리 무기 피해
ineffective weapons	비효율적인 무기
vulnerability to certain attacks	특정 공격에 대한 취약성
damaged objects	피해 받은 물체
ruined structure	폐허 구조
occupied structure	점령 구조
safe storage	안전 금고
natural cavern complex	자연 동굴의 복잡도
masonry walls	석조 벽
superior masonry walls	우수한 석조 벽
hewn stone walls	거칠게 다듬은 돌 벽
unworked stone walls	자연 돌 벽
reinforced walls	보강된 벽
iron walls	철벽
paper walls	종이 벽
wooden walls	나무 벽
magically treated walls	마법이 깃든 벽
walls with arrow slits	총안구가 있는 벽
flagstone	판돌
uneven flagstone	고르지 못한 판돌
hewn stone floors	거칠게 다듬은 바닥
light rubble	가벼운 자갈밭
dense rubble	조밀한 자갈밭
smooth stone floors	매끄러운 돌 바닥
natural stone floors	자연적인 돌 바닥
slippery	미끄러움
grate	발판
ledge	튀어 나온 바위
transparent floor	투명 바닥
sliding floors	움직이는 바닥
wooden doors	목제 문
stone	돌
iron	철
locks, bars, and seals	자물쇠, 빗장, 봉인
locks	자물쇠
stuck doors	고장난 문
barred doors	빗장 걸린 문
magic seals	마법 봉인
hinges	경첩
standard hinges	표준 경첩
nested hinges	중첩 경첩
pivots	피벗
secret doors	비밀 문
portcullises	쇠창살 관문
guard post	감시초소
living quarters	거처
work area	작업 영역
shrine	성지
vault	대피호
crypt	대피소
stairs	계단
gradual stairs	완만한 계단
steep stairs	가파른 계단
spiral stairs	나선형 계단
railings and low walls	계단 손잡이 및 낮은 벽
bridge	다리
narrow bridge	좁은 다리
rope bridge	밧줄 다리
drawbridge	도개교
chutes and chimneys	비상탈출로와 굴뚝
pillar	기둥
slender pillar	가는 기둥
wide pillar	두꺼운 기둥
stalagmite/stalactite	석순/종유석
tapestry	태피스트리
pedestal	받침대
pool	웅덩이
shallow pool	얕은 웅덩이
deep pool	깊은 웅덩이
special pools	특수 웅덩이
elevator	승강기
ladders	사다리
shifting stone or wall	돌이나 벽 밀어 움직이기
teleporters	순간이동기
altars	제단
green slime	초록 슬라임
yellow mold	노란 곰팡이
brown mold	갈색 곰팡이
phosphorescent fungus	인광 버섯
poor visibility	낮은 가시성
chance to get lost	길 잃을 확률
effects of being lost	길을 잃었을 때 효과
recognizing that you’re lost	길 잃었음을 인지하기
setting a new course	새로운 경로를 설정하기
conflicting directions	방향에 대한 갈등
regaining your bearings	길 잃은 상태 회복하기
trees	나무
undergrowth	덤불
forest canopy	삼림 캐노피
other forest terrain elements	기타 숲 지형 원소
stealth and detection in a forest	숲에서의 은신과 탐지
heat damage	열 피해
smoke inhalation	연기 흡입
bogs	습지
quicksand	흐르는 모래
effects of quicksand	흐르는 모래의 효과
rescue	구출
hedgerows	생울타리
other marsh terrain elements	기타 늪지대 원소
stealth and detection in a marsh	늪지대에서의 은신과 탐지
gradual slope	완만한 경사
steep slope	가파른 경사
cliff	절벽
light undergrowth	가벼운 덤불
other hills terrain elements	기타 언덕 지형 원소
stealth and detection in hills	언덕에서의 은신과 탐지
gradual and steep slopes	완만한 경사와 가파른 경사
chasm	협곡
scree	자갈 비탈
rock wall	바위벽
cave entrance	동굴 입구
other mountain terrain features	기타 산악 지형 요소
stealth and detection in mountains	산악에서의 은신과 탐지
acclimated characters	적응한 캐릭터
altitude zones	고도 구역
low pass	로우 패스
low peak or high pass	로우 피크 또는 하이패스
high peak	하이 피크
ice sheet	판빙
sand dunes	모래 언덕
other desert terrain features	기타 사막 지형 요소
stealth and detection in the desert	사막에서의 은신과 탐지
trench	참호
berm	둔덕
fences	울타리
other plains terrain features	기타 평지 지형 요소
stealth and detection in plains	평지에서의 은신과 탐지
flowing water	흐르는 물
swept away	씻겨 내려감
nonflowing water	흐르지 않는 물
stealth and detection underwater	수중에서의 은신과 탐지
ranged attacks underwater	수중 원거리 공격
attacks from land	지상으로부터 공격
fire	불
access to resources	자원 접근
law enforcement	법 집행
watch towers	감시탑
catapult, heavy	투석기, 무거움
catapult, light	투석기, 가벼움
ballista	발리스타
ram	램
siege tower	공성탑
crowds	군중
directing crowds	방향성 있는 군중
rooftops	옥상
sewers	하수도
simple house	단순한 주택
grand house	웅장한 주택
mansion	대저택
tower	탑
keep	아성
castle	성
huge castle	특대형 성
moat with bridge	다리가 있는 해자
calm	고요함
cold snap	한파
downpour	호우
heat wave	열파
hot	뜨거움
moderate	보통
powerful storm	강력한 폭풍
precipitation	강수량
storm	폭풍
warm	따뜻함
windy	바람
snow	눈
heavy snow	폭설
sleet	진눈깨비
hail	우박
duststorm	먼지폭풍
snowstorm	눈폭풍
thunderstorm	뇌우
powerful storms	강력한 폭풍
windstorm	바람폭풍
blizzard	블리자드
hurricane	허리케인
tornado	토네이도
light wind	가벼운 바람
moderate wind	보통 바람
strong wind	강한 바람
severe wind	심한 바람
hurricane-force wind	허리케인 바람
falling into water	물 속으로 낙하
types of traps	함정의 유형
location	장소
proximity	근접도
sound	소리
timed	지정시각
no reset	재설정 없음
repair	수리
manual	수동
automatic	자동
hidden switch	숨겨진 스위치
hidden lock	숨겨진 자물쇠
mechanical trap	기계적 함정
magic device traps	마법 장치 함정
alchemical item	연금술 아이템
gas	기체
liquid	액체
multiple target	다중 목표물
never miss	미스 절대불가
onset delay	시작 지연
pit spikes	구덩이 가시
pit bottom	구덩이 바닥
basic arrow trap	기본 화살 함정
camouflaged pit trap	위장 구덩이 함정
deeper pit trap	깊은 구덩이 함정
fusillade of darts	연발 다트
poison dart trap	독 다트 함정
poison needle trap	독 바늘 함정
portcullis trap	연발 함정
razor-wire across hallway	복도에 놓인 철사 함정
rolling rock trap	구르는 돌 함정
scything blade trap	낫질하는 칼날 함정
swinging block trap	블록 추 함정
wall blade trap	벽 칼날 함정
box of brown mold	갈색 곰팡이 상자
bricks from ceiling	천장에서 떨어지는 벽돌
tripping chain	넘어뜨리기 사슬
well-camouflaged pit trap	잘 위장된 구덩이 함정
ceiling pendulum	천장에 매달린 추
extended bane trap	연장된 파멸 함정
hail of needles	바늘 우박
poisoned arrow trap	독 화살 함정
stone blocks from ceiling	천장에서 떨어지는 석재 블록
collapsing column	붕괴하는 기둥
poisoned dart trap	독 다트 함정
wall scythe trap	벽 대낫 함정
water-filled room trap	물이 채워진 방 함정
wide-mouth spiked pit trap	넓은 입구 가시 구덩이 함정
doorknob smeared with contact poison	접촉식 독으로 얼룩진 손잡이
falling block trap	낙하 블록 함정
flooding room trap	침수된 방 함정
moving executioner statue	움직이는 집행자 석상
poison wall spikes	독 벽 가시
ungol dust vapor trap	웅골 먼지 증기 함정
built-to-collapse wall	붕괴용 벽
compacting room	다지기 방
fusillade of spears	연발 창
spiked blocks from ceiling	천장으로부터 떨어지는 가시 블록
whirling poison blades	회오리 치는 독 칼날
wide-mouth pit trap	넓은 입구 구덩이 함정
wyvern arrow trap	와이번 화살 함정
burnt othur vapor trap	타오르는 어써르 증기 함정
fusillade of greenblood oil darts	연발 초록빛 피 기름 다트
lock covered in dragon bile	드래곤 담즘으로 덮힌 자물쇠
water-filled room	물이 채워진 방
deathblade wall scythe	죽음칼날 벽 대낫
insanity mist vapor trap	광기 안개 증기 함정
drawer handle smeared with contact poison	접촉식 독으로 얼룩진 서랍 손잡이
dropping ceiling	떨어지는 천장
wide-mouth spiked pit with poisoned spikes	독 가시가 있는 넓은 입구 가시 구덩이
crushing room	으깨기 방
crushing wall trap	으깨기 벽 함정
poisoned spiked pit trap	독 가시 구덩이 함정
average damage	평균 피해
multiple traps	다중 함정
multiple dependent traps	다중 의존적 함정
multiple independent traps	다중 독립적 함정
making the checks	판정하기
transitive planes	전이 이세계
inner planes	내부 이세계
outer planes	외부 이세계
demiplanes	반이세계
gravity	중력
normal gravity	보통 중력
heavy gravity	강한 중력
light gravity	약한 중력
no gravity	무중력
objective directional gravity	객관적 방향성이 있는 중력
subjective directional gravity	주관적 방향성이 있는 중력
normal time	정상 시간
timeless	시간 초월
flowing time	흐르는 시간
erratic time	뷸규칙적인 시간
shape and size	형태 및 크기
infinite	무한
finite shape	유한한 형태
self-contained shape	스스로를 포함하는 형태
morphic traits	변형성 특성
alterable morphic	변경 가능한 변형성
highly morphic	높은 변형성
magically morphic	마법적 변형성
divinely morphic	신성 변형성
static	정적
sentient	지각적
air-dominant	바람 우세
earth-dominant	대지 우세
fire-dominant	불 우세
water-dominant	물 우세
positive-dominant	양 우세
negative-dominant	음 우세
law-aligned/chaos-aligned	질서 성향/혼돈 성향
mildly aligned	약하게 성향이 있음
strongly aligned	강하게 성향이 있음
neutral-aligned	중립 성향
wild magic	야생 마법
impeded magic	마법 지연
enhanced magic	마법 강화
limited magic	마법 제한
separate planes	별도의 이세계
coterminous planes	서로 접한 이세계
coexistent planes	공존하는 이세계
layered planes	계층형 이세계
grappling or pinned	그래플링 또는 고정당함
vigorous motion	활발한 움직임
violent motion	격렬한 움직임
violent weather	격렬한 날씨
casting defensively	방어적으로 주문하기
how counterspells work	주문 차단 작동원리
specific exceptions	특정 예외
dispel magic as a counterspell	주문 차단으로 마법 무효화하기
bringing back the dead	죽은 자 되살리기
preventing revivification	소생 방지하기
revivification against one’s will	의지에 반하는 소생
stacking effects	중첩 효과
different bonus names	다른 보너스 이름
same effect more than once in different strengths	서로 다른 강도에서 두 번 이상 동일한 효과
same effect with differing results	결과가 다른 동일한 효과
one effect makes another irrelevant	한 효과가 나머지를 무관하게 만듭니다
multiple mental control effects	다중 정신 조종 효과
spells with opposite effects	반대 효과가 있는 주문
instantaneous effects	순간 효과
calling	부름
creation	창조
summoning	소환
personal	개인
close	가까움
medium	중간
long	멂
unlimited	무제한
range expressed in feet	피트로 표현된 거리
target or targets	목표물(들)
spread	확산형
emanation	발산형
cone	원뿔형
cylinder	원통형
line	선형
sphere	구형
object	물체
shapeable	조형가능
line of effect	효과 선
timed durations	지정 지속시간
instantaneous	순간
permanent	영구
subjects, effects, and areas	주체, 효과, 범위
touch spells and holding the charge	접촉 주문과 시전 보류
discharge	방전
negates	무효
partial	부분
half	절반
disbelief	불신
harmless	무해함
succeeding on a saving throw	내성 굴림에 성공
voluntarily giving up a saving throw	자발적인 내성 굴림 포기
items surviving after a saving throw	내성 굴림 후 아이템 유지
rest	휴식
recent casting limit/rest interruptions	최근 시전 한도/휴식 방해
preparation environment	준비 환경
spell preparation time	주문 준비 시간
spell selection and preparation	주문 선택 및 준비
spell slots	주문 슬롯
prepared spell retention	준비된 주문 보유
death and prepared spell retention	죽음과 준비된 주문 보유
wizard spells and borrowed spellbooks	마법사 주문과 빌린 주문책
adding spells to a wizard’s spellbook	마법사의 주문책에 주문 추가하기
spells gained at a new level	새로운 레벨에 얻는 주문
spells copied from another’s spellbook or a scroll	다른이의 주문책이나 두루마리에서 복사한 주문
independent research	독립적인 연구
writing a new spell into a spellbook	주문책에 새 주문 적기
space in the spellbook	주문책 공간
replacing and copying spellbooks	주문책 교체하기와 복사하기
selling a spellbook	주문책 팔기
daily readying of spells	주문의 일일 준비
recent casting limit	최근 시전 한도
adding spells to a sorcerer’s or bard’s repertoire	소서러나 음유시인의 레퍼토리에 주문 추가하기
time of day	하루 중 시간
spontaneous casting of cure and inflict spells	치유 및 상처 가하기 주문의 즉시 시전
spontaneous casting of summon nature’s ally spells	자연의 동료 소환 주문의 즉시 시전
natural abilities	고유 능력
order of presentation	제시 순서
